,Sale_Price,Longitude,Latitude,Neighborhood,Lot_Area,Bldg_Type,Overall_Cond,TotRms_AbvGrd,Gr_Liv_Area,Second_Flr_SF,Garage_Type,Sale_Condition,Year_Built,Year_Remod_Add,Bedroom_AbvGr,Bath_AbvGr,Branch_Number
0,215000,-93.619754,42.054035,North_Ames,31770,OneFam,Average,7,1656,False,True,Normal,1960,1960,3,1,Branch_2
1,105000,-93.619756,42.053014,North_Ames,11622,OneFam,Above_Average,5,896,False,True,Normal,1961,1961,2,1,Branch_2
2,172000,-93.6193873,42.052659,North_Ames,14267,OneFam,Above_Average,6,1329,False,True,Normal,1958,1958,3,2,Branch_2
3,244000,-93.61732,42.051245,North_Ames,11160,OneFam,Average,8,2110,False,True,Normal,1968,1968,3,3,Branch_2
4,189900,-93.638933,42.060899,Gilbert,13830,OneFam,Average,6,1629,True,True,Normal,1997,1998,3,3,Branch_1
5,195500,-93.638925,42.060779,Gilbert,9978,OneFam,Above_Average,7,1604,True,True,Normal,1998,1998,3,3,Branch_1
6,213500,-93.633792,42.062978,Stone_Brook,4920,TwnhsE,Average,6,1338,False,True,Normal,2001,2001,2,2,Branch_1
7,191500,-93.633826,42.060728,Stone_Brook,5005,TwnhsE,Average,5,1280,False,True,Normal,1992,1992,2,2,Branch_1
8,236500,-93.632852,42.06112,Stone_Brook,5389,TwnhsE,Average,5,1616,False,True,Normal,1995,1996,2,2,Branch_1
9,189000,-93.639068,42.059193,Gilbert,7500,OneFam,Average,7,1804,True,True,Normal,1999,1999,3,3,Branch_1
10,175900,-93.636947,42.05848,Gilbert,10000,OneFam,Average,7,1655,True,True,Normal,1993,1994,3,3,Branch_1
11,185000,-93.635951,42.057419,Gilbert,7980,OneFam,Good,6,1187,False,True,Normal,1992,2007,3,2,Branch_1
12,180400,-93.638647,42.058151,Gilbert,8402,OneFam,Average,7,1465,True,True,Normal,1998,1998,3,3,Branch_1
13,171500,-93.634626,42.057268,Gilbert,10176,OneFam,Average,5,1341,False,True,Normal,1990,1990,2,2,Branch_1
14,212000,-93.632913,42.059169,Stone_Brook,6820,TwnhsE,Average,4,1502,False,True,Normal,1985,1985,1,2,Branch_1
15,538000,-93.62655,42.061239,Stone_Brook,53504,OneFam,Average,12,3279,True,True,Normal,2003,2003,4,4,Branch_1
16,164000,-93.6235954,42.0603514,Gilbert,12134,OneFam,Good,8,1752,True,True,Normal,1988,2005,4,2,Branch_1
17,394432,-93.628804,42.05885,Stone_Brook,11394,OneFam,Poor,8,1856,False,True,Partial,2010,2010,1,2,Branch_1
18,141000,-93.622971,42.056673,Gilbert,19138,OneFam,Average,4,864,False,True,Normal,1951,1951,2,1,Branch_1
19,210000,-93.636655,42.054453,Northwest_Ames,13175,OneFam,Above_Average,7,2073,False,True,Normal,1978,1988,3,2,Branch_2
20,190000,-93.633962,42.050346,Northwest_Ames,11751,OneFam,Above_Average,7,1844,False,True,Normal,1977,1977,3,2,Branch_2
22,216000,-93.639366,42.049297,Somerset,7500,OneFam,Average,7,1674,True,True,Normal,2000,2000,3,3,Branch_1
23,149000,-93.626231,42.055147,North_Ames,11241,OneFam,Good,5,1004,False,True,Normal,1970,1970,2,1,Branch_2
24,149900,-93.626537,42.054592,North_Ames,12537,OneFam,Above_Average,6,1078,False,True,Normal,1971,2008,3,2,Branch_2
25,142000,-93.628806,42.055227,North_Ames,8450,OneFam,Above_Average,6,1056,False,True,Normal,1968,1968,3,1,Branch_2
26,126000,-93.627112,42.053395,North_Ames,8400,OneFam,Average,4,882,False,True,Normal,1970,1970,2,1,Branch_2
27,115000,-93.622769,42.056375,North_Ames,10500,OneFam,Average,5,864,False,False,Normal,1971,1971,3,1,Branch_2
28,184000,-93.624373,42.055318,North_Ames,5858,TwnhsE,Average,5,1337,False,True,Normal,1999,1999,2,2,Branch_2
29,96000,-93.627271,42.051835,Briardale,1680,Twnhs,Average,5,987,True,True,Normal,1971,1971,2,2,Branch_2
30,105500,-93.627536,42.051684,Briardale,1680,Twnhs,Average,6,1092,True,True,Normal,1971,1971,3,2,Branch_2
32,127500,-93.627232,42.049672,Northpark_Villa,4043,TwnhsE,Average,4,1069,False,True,Normal,1977,1977,2,2,Branch_2
