Sale_Price,Longitude,Latitude,Lot_Area,Bldg_Type,Overall_Cond,TotRms_AbvGrd,Gr_Liv_Area,Second_Flr_SF,Garage_Type,Sale_Condition,Year_Built,Year_Remod_Add
215000,-93.619754,42.054035,31770,OneFam,Average,7,1656,False,True,Normal,1960,1960
105000,-93.619756,42.053014,11622,OneFam,Above_Average,5,896,False,True,Normal,1961,1961
172000,-93.6193873,42.052659,14267,OneFam,Above_Average,6,1329,False,True,Normal,1958,1958
244000,-93.61732,42.051245,11160,OneFam,Average,8,2110,False,True,Normal,1968,1968
189900,-93.638933,42.060899,13830,OneFam,Average,6,1629,True,True,Normal,1997,1998
195500,-93.638925,42.060779,9978,OneFam,Above_Average,7,1604,True,True,Normal,1998,1998
213500,-93.633792,42.062978,4920,TwnhsE,Average,6,1338,False,True,Normal,2001,2001
191500,-93.633826,42.060728,5005,TwnhsE,Average,5,1280,False,True,Normal,1992,1992
236500,-93.632852,42.06112,5389,TwnhsE,Average,5,1616,False,True,Normal,1995,1996
189000,-93.639068,42.059193,7500,OneFam,Average,7,1804,True,True,Normal,1999,1999
175900,-93.636947,42.05848,10000,OneFam,Average,7,1655,True,True,Normal,1993,1994
185000,-93.635951,42.057419,7980,OneFam,Good,6,1187,False,True,Normal,1992,2007
180400,-93.638647,42.058151,8402,OneFam,Average,7,1465,True,True,Normal,1998,1998
171500,-93.634626,42.057268,10176,OneFam,Average,5,1341,False,True,Normal,1990,1990
212000,-93.632913,42.059169,6820,TwnhsE,Average,4,1502,False,True,Normal,1985,1985
538000,-93.62655,42.061239,53504,OneFam,Average,12,3279,True,True,Normal,2003,2003
164000,-93.6235954,42.0603514,12134,OneFam,Good,8,1752,True,True,Normal,1988,2005
394432,-93.628804,42.05885,11394,OneFam,Poor,8,1856,False,True,Partial,2010,2010
141000,-93.622971,42.056673,19138,OneFam,Average,4,864,False,True,Normal,1951,1951
210000,-93.636655,42.054453,13175,OneFam,Above_Average,7,2073,False,True,Normal,1978,1988
190000,-93.633962,42.050346,11751,OneFam,Above_Average,7,1844,False,True,Normal,1977,1977
216000,-93.639366,42.049297,7500,OneFam,Average,7,1674,True,True,Normal,2000,2000
149000,-93.626231,42.055147,11241,OneFam,Good,5,1004,False,True,Normal,1970,1970
149900,-93.626537,42.054592,12537,OneFam,Above_Average,6,1078,False,True,Normal,1971,2008
142000,-93.628806,42.055227,8450,OneFam,Above_Average,6,1056,False,True,Normal,1968,1968
126000,-93.627112,42.053395,8400,OneFam,Average,4,882,False,True,Normal,1970,1970
115000,-93.622769,42.056375,10500,OneFam,Average,5,864,False,False,Normal,1971,1971
184000,-93.624373,42.055318,5858,TwnhsE,Average,5,1337,False,True,Normal,1999,1999
96000,-93.627271,42.051835,1680,Twnhs,Average,5,987,True,True,Normal,1971,1971
105500,-93.627536,42.051684,1680,Twnhs,Average,6,1092,True,True,Normal,1971,1971
127500,-93.627232,42.049672,4043,TwnhsE,Average,4,1069,False,True,Normal,1977,1977
149900,-93.625924,42.050683,2280,Twnhs,Above_Average,6,1456,True,True,Normal,1975,1975
120000,-93.625966,42.050681,2280,Twnhs,Above_Average,4,836,False,True,Normal,1975,1975
146000,-93.625848,42.049811,2280,Twnhs,Average,7,1456,True,True,Normal,1978,1978
376162,-93.653201,42.062352,12858,OneFam,Average,10,2334,True,True,Partial,2009,2010
306000,-93.654645,42.062109,11478,OneFam,Average,7,1704,False,True,Normal,2007,2008
395192,-93.6537329,42.0611331,10159,OneFam,Average,8,1940,False,True,Partial,2009,2010
290941,-93.6528306,42.0612885,12883,OneFam,Average,7,1544,False,True,Partial,2009,2010
220000,-93.652713,42.060872,12182,OneFam,Average,7,1541,False,True,Partial,2005,2005
275000,-93.65332,42.0608079,11520,OneFam,Average,7,1698,False,True,Normal,2005,2005
259000,-93.652336,42.060879,14122,OneFam,Average,8,1822,False,True,Normal,2005,2006
214000,-93.652307,42.060298,10171,OneFam,Average,7,1535,False,True,Normal,2004,2004
611657,-93.655051,42.059617,12919,OneFam,Average,11,2364,False,True,Partial,2009,2010
224000,-93.650436,42.058388,6371,TwnhsE,Average,6,1358,False,True,Partial,2009,2010
500000,-93.656067,42.058599,14300,OneFam,Average,10,2696,False,True,Normal,2003,2004
320000,-93.654853,42.057102,13650,OneFam,Average,7,2250,True,True,Normal,2002,2002
319900,-93.654121,42.057164,7658,TwnhsE,Average,6,1752,False,True,Normal,2005,2005
205000,-93.649447,42.058252,7132,TwnhsE,Average,6,1370,False,True,Normal,2006,2006
175500,-93.651013,42.057181,2628,Twnhs,Average,6,1626,True,True,Normal,2003,2003
199500,-93.644356,42.061928,18494,OneFam,Average,6,1324,False,True,Normal,2005,2005
160000,-93.641635,42.06257,3203,TwnhsE,Average,6,1145,False,True,Normal,2006,2006
192000,-93.642252,42.062303,3182,TwnhsE,Average,6,1269,False,True,Normal,2004,2005
184500,-93.644076,42.061443,13300,OneFam,Average,7,1374,True,True,Normal,2004,2004
216500,-93.641487,42.060977,7851,OneFam,Average,8,1960,True,True,Normal,2002,2002
185088,-93.642447,42.061193,8577,OneFam,Average,7,1733,True,True,Normal,2004,2004
180000,-93.641325,42.060936,7750,OneFam,Average,7,1430,True,True,Normal,2000,2000
222500,-93.641337,42.057103,9505,OneFam,Average,8,2035,True,True,Normal,2001,2001
333168,-93.651381,42.054386,14774,OneFam,Average,10,2599,True,True,Normal,1999,1999
355000,-93.652334,42.053243,17433,OneFam,Average,7,2475,True,True,Normal,1998,1998
260400,-93.654206,42.051721,10593,OneFam,Average,7,1720,False,True,Normal,1996,1996
325000,-93.653616,42.051674,12256,OneFam,Average,9,2622,True,True,Normal,1994,1995
290000,-93.650356,42.052457,11764,OneFam,Good,9,2270,True,True,Normal,1999,2007
221000,-93.650578,42.052437,16770,OneFam,Average,7,1839,True,True,Normal,1998,1998
410000,-93.652972,42.050909,14720,OneFam,Average,9,3238,True,True,Normal,1995,1996
221500,-93.642368,42.05306,8987,OneFam,Average,6,1595,False,True,Normal,2005,2006
204500,-93.649976,42.051827,9215,OneFam,Average,4,1218,False,True,Partial,2009,2010
215200,-93.650318,42.051653,8640,OneFam,Average,7,1547,True,True,Normal,2009,2009
262500,-93.647105,42.050084,9000,OneFam,Average,7,1566,False,True,Normal,2008,2008
254900,-93.642773,42.052347,12552,OneFam,Average,8,1947,True,True,Normal,2004,2005
271500,-93.642224,42.051429,10440,OneFam,Average,6,1468,False,True,Normal,2005,2005
233000,-93.692309,42.036255,10142,OneFam,Average,8,2084,True,True,Normal,2004,2004
181000,-93.692412,42.036113,11920,OneFam,Average,8,1659,True,True,Normal,2004,2004
205000,-93.68981,42.036026,8880,OneFam,Average,8,2110,True,True,Normal,1994,2002
143000,-93.686417,42.03548,8012,TwnhsE,Average,5,923,False,True,Normal,1980,1980
189000,-93.687694,42.036659,11218,OneFam,Average,8,1845,True,True,Normal,1992,1992
99500,-93.686263,42.034589,7892,TwnhsE,Average,5,918,False,True,Normal,1979,1979
125000,-93.686264,42.0347,7175,TwnhsE,Average,4,752,False,True,Normal,1984,1984
194500,-93.68628,42.036633,9453,OneFam,Good,7,1744,True,True,Normal,1993,2003
152000,-93.685028,42.034555,9672,OneFam,Average,6,1097,False,True,Normal,1984,1985
171000,-93.685029,42.034678,8400,OneFam,Above_Average,7,1564,True,True,Normal,1980,1981
67500,-93.6790694,42.0360754,9800,OneFam,Average,5,1012,False,True,Normal,1920,1950
112000,-93.677205,42.036535,8930,Duplex,Average,8,1902,True,True,Normal,1978,1978
148000,-93.673669,42.034793,11782,OneFam,Good,6,1155,False,True,Normal,1961,1995
138500,-93.670956,42.035685,8450,OneFam,Very_Good,5,894,False,True,Normal,1965,2009
122000,-93.672096,42.034856,9819,OneFam,Average,5,900,False,True,Normal,1967,1967
